62 transfer cells
[1/62    87s] pretrain  0.5h budget   0 seed0: 0.01 [0.00, 0.05]
[2/62    89s] pretrain  0.5h budget   0 seed1: 0.00 [0.00, 0.04]
[3/62    90s] pretrain  1.0h budget   0 seed1: 0.00 [0.00, 0.04]
[4/62    92s] pretrain  1.0h budget   0 seed0: 0.01 [0.00, 0.05]
[5/62   118s] pretrain  0.5h budget 100 seed1: 0.26 [0.18, 0.35]
[6/62   122s] pretrain  1.0h budget  30 seed0: 0.15 [0.09, 0.23]
[7/62   125s] pretrain  0.5h budget  30 seed1: 0.09 [0.05, 0.16]
[8/62   126s] pretrain  0.5h budget  30 seed0: 0.14 [0.09, 0.22]
[9/62   126s] pretrain  1.0h budget 100 seed0: 0.22 [0.15, 0.31]
[10/62   127s] pretrain  0.5h budget  10 seed0: 0.00 [0.00, 0.04]
[11/62   129s] pretrain  0.5h budget 100 seed0: 0.15 [0.09, 0.23]
[12/62   130s] pretrain  0.5h budget  10 seed1: 0.04 [0.02, 0.10]
[13/62   131s] pretrain  1.0h budget  10 seed0: 0.05 [0.02, 0.11]
[14/62   137s] pretrain  1.0h budget  10 seed1: 0.05 [0.02, 0.11]
[15/62   172s] pretrain  2.0h budget   0 seed0: 0.01 [0.00, 0.05]
[16/62   196s] pretrain  1.0h budget 100 seed1: 0.23 [0.16, 0.32]
[17/62   202s] pretrain  1.0h budget  30 seed1: 0.17 [0.11, 0.26]
[18/62   206s] pretrain  4.0h budget   0 seed0: 0.01 [0.00, 0.05]
[19/62   210s] pretrain  2.0h budget   0 seed1: 0.01 [0.00, 0.05]
[20/62   233s] pretrain  2.0h budget  10 seed0: 0.08 [0.04, 0.15]
[21/62   238s] pretrain  2.0h budget 100 seed0: 0.28 [0.20, 0.37]
[22/62   241s] pretrain  2.0h budget  30 seed0: 0.14 [0.09, 0.22]
[23/62   242s] pretrain  2.0h budget 100 seed1: 0.26 [0.18, 0.35]
[24/62   244s] pretrain  4.0h budget 100 seed0: 0.33 [0.25, 0.43]
[25/62   244s] pretrain  4.0h budget  30 seed0: 0.18 [0.12, 0.27]
[26/62   254s] pretrain  4.0h budget  10 seed0: 0.03 [0.01, 0.08]
[27/62   258s] pretrain  4.0h budget   0 seed1: 0.02 [0.01, 0.07]
[28/62   262s] pretrain  2.0h budget  30 seed1: 0.22 [0.15, 0.31]
[29/62   267s] pretrain  2.0h budget  10 seed1: 0.13 [0.08, 0.21]
[30/62   292s] pretrain  8.0h budget   0 seed0: 0.00 [0.00, 0.04]
[31/62   317s] pretrain  8.0h budget   0 seed1: 0.00 [0.00, 0.04]
[32/62   320s] pretrain  4.0h budget 100 seed1: 0.30 [0.22, 0.40]
[33/62   332s] pretrain 16.0h budget   0 seed0: 0.02 [0.01, 0.07]
[34/62   334s] pretrain  4.0h budget  30 seed1: 0.17 [0.11, 0.26]
[35/62   334s] pretrain  4.0h budget  10 seed1: 0.12 [0.07, 0.20]
[36/62   349s] pretrain  8.0h budget  30 seed0: 0.23 [0.16, 0.32]
[37/62   350s] pretrain  8.0h budget 100 seed0: 0.31 [0.23, 0.41]
[38/62   351s] pretrain  8.0h budget  10 seed0: 0.08 [0.04, 0.15]
[39/62   355s] pretrain  8.0h budget 100 seed1: 0.41 [0.32, 0.51]
[40/62   356s] pretrain  8.0h budget  30 seed1: 0.26 [0.18, 0.35]
[41/62   358s] pretrain  8.0h budget  10 seed1: 0.11 [0.06, 0.19]
[42/62   370s] pretrain 16.0h budget  10 seed0: 0.12 [0.07, 0.20]
[43/62   372s] pretrain 16.0h budget  30 seed0: 0.23 [0.16, 0.32]
[44/62   394s] pretrain 16.0h budget 100 seed0: 0.31 [0.23, 0.41]
[45/62   394s] pretrain 16.0h budget   0 seed1: 0.02 [0.01, 0.07]
[46/62   411s] pretrain 32.0h budget   0 seed0: 0.01 [0.00, 0.05]
[47/62   430s] pretrain 32.0h budget   0 seed1: 0.02 [0.01, 0.07]
[48/62   430s] pretrain 16.0h budget  10 seed1: 0.12 [0.07, 0.20]
[49/62   441s] pretrain 16.0h budget 100 seed1: 0.32 [0.24, 0.42]
[50/62   446s] pretrain 16.0h budget  30 seed1: 0.25 [0.18, 0.34]
[51/62   455s] pretrain 32.0h budget 100 seed0: 0.38 [0.29, 0.48]
[52/62   458s] pretrain 32.0h budget  30 seed0: 0.20 [0.13, 0.29]
[53/62   458s] pretrain 32.0h budget  10 seed0: 0.09 [0.05, 0.16]
[54/62   467s] pretrain 32.0h budget  30 seed1: 0.16 [0.10, 0.24]
[55/62   472s] pretrain 32.0h budget  10 seed1: 0.05 [0.02, 0.11]
[56/62   475s] pretrain 32.0h budget 100 seed1: 0.35 [0.26, 0.45]
[57/62   486s] pretrain  0.0h budget  10 seed0: 0.00 [0.00, 0.04]
[58/62   500s] pretrain  0.0h budget 100 seed0: 0.09 [0.05, 0.16]
[59/62   504s] pretrain  0.0h budget  30 seed0: 0.04 [0.02, 0.10]
[60/62   520s] pretrain  0.0h budget  10 seed1: 0.00 [0.00, 0.04]
[61/62   531s] pretrain  0.0h budget 100 seed1: 0.13 [0.08, 0.21]
[62/62   532s] pretrain  0.0h budget  30 seed1: 0.06 [0.03, 0.12]
wrote s8_scaling\results\transfer.json
