62 transfer cells
[1/62   114s] pretrain  0.5h budget   0 seed0: 0.01 [0.00, 0.05]
[2/62   116s] pretrain  0.5h budget   0 seed1: 0.00 [0.00, 0.04]
[3/62   130s] pretrain  1.0h budget   0 seed1: 0.00 [0.00, 0.04]
[4/62   155s] pretrain  1.0h budget   0 seed0: 0.01 [0.00, 0.05]
[5/62   247s] pretrain  2.0h budget   0 seed0: 0.01 [0.00, 0.05]
[6/62   328s] pretrain  0.5h budget 100 seed0: 0.18 [0.12, 0.27]
[7/62   335s] pretrain  0.5h budget  10 seed0: 0.01 [0.00, 0.05]
[8/62   337s] pretrain  1.0h budget 100 seed0: 0.19 [0.13, 0.28]
[9/62   341s] pretrain  0.5h budget  30 seed0: 0.13 [0.08, 0.21]
[10/62   341s] pretrain  1.0h budget  10 seed0: 0.07 [0.03, 0.14]
[11/62   343s] pretrain  0.5h budget 100 seed1: 0.12 [0.07, 0.20]
[12/62   346s] pretrain  0.5h budget  10 seed1: 0.05 [0.02, 0.11]
[13/62   348s] pretrain  1.0h budget  10 seed1: 0.04 [0.02, 0.10]
[14/62   349s] pretrain  0.5h budget  30 seed1: 0.06 [0.03, 0.12]
[15/62   350s] pretrain  1.0h budget  30 seed0: 0.11 [0.06, 0.19]
[16/62   404s] pretrain  1.0h budget 100 seed1: 0.26 [0.18, 0.35]
[17/62   416s] pretrain  1.0h budget  30 seed1: 0.06 [0.03, 0.12]
[18/62   434s] pretrain  2.0h budget  10 seed0: 0.14 [0.09, 0.22]
[19/62   439s] pretrain  2.0h budget   0 seed1: 0.02 [0.01, 0.07]
[20/62   442s] pretrain  4.0h budget   0 seed0: 0.01 [0.00, 0.05]
[21/62   449s] pretrain  4.0h budget   0 seed1: 0.00 [0.00, 0.04]
[22/62   501s] pretrain  2.0h budget  30 seed0: 0.14 [0.09, 0.22]
[23/62   552s] pretrain  8.0h budget   0 seed0: 0.00 [0.00, 0.04]
[24/62   640s] pretrain  2.0h budget 100 seed0: 0.21 [0.14, 0.30]
[25/62   654s] pretrain  8.0h budget   0 seed1: 0.00 [0.00, 0.04]
[26/62   664s] pretrain  2.0h budget  30 seed1: 0.09 [0.05, 0.16]
[27/62   672s] pretrain  2.0h budget 100 seed1: 0.27 [0.19, 0.36]
[28/62   673s] pretrain  2.0h budget  10 seed1: 0.07 [0.03, 0.14]
[29/62   673s] pretrain  4.0h budget 100 seed0: 0.25 [0.18, 0.34]
[30/62   677s] pretrain  4.0h budget  10 seed0: 0.06 [0.03, 0.12]
[31/62   682s] pretrain  4.0h budget  30 seed0: 0.10 [0.06, 0.17]
[32/62   726s] pretrain  4.0h budget  10 seed1: 0.14 [0.09, 0.22]
[33/62   743s] pretrain  4.0h budget  30 seed1: 0.11 [0.06, 0.19]
[34/62   746s] pretrain  8.0h budget  10 seed0: 0.13 [0.08, 0.21]
[35/62   748s] pretrain  4.0h budget 100 seed1: 0.16 [0.10, 0.24]
[36/62   761s] pretrain  8.0h budget  30 seed0: 0.21 [0.14, 0.30]
[37/62   769s] pretrain 16.0h budget   0 seed0: 0.02 [0.01, 0.07]
[38/62   777s] pretrain 16.0h budget   0 seed1: 0.00 [0.00, 0.04]
[39/62   782s] pretrain  8.0h budget 100 seed0: 0.34 [0.25, 0.44]
[40/62   847s] pretrain 32.0h budget   0 seed0: 0.10 [0.06, 0.17]
[41/62   885s] pretrain 32.0h budget   0 seed1: 0.03 [0.01, 0.08]
[42/62   935s] pretrain  8.0h budget  10 seed1: 0.16 [0.10, 0.24]
[43/62   964s] pretrain  8.0h budget  30 seed1: 0.13 [0.08, 0.21]
[44/62   976s] pretrain  8.0h budget 100 seed1: 0.23 [0.16, 0.32]
[45/62   988s] pretrain 16.0h budget  30 seed0: 0.21 [0.14, 0.30]
[46/62   988s] pretrain 16.0h budget  10 seed0: 0.13 [0.08, 0.21]
[47/62   999s] pretrain 16.0h budget 100 seed0: 0.29 [0.21, 0.39]
[48/62  1064s] pretrain 16.0h budget  10 seed1: 0.10 [0.06, 0.17]
[49/62  1087s] pretrain 16.0h budget 100 seed1: 0.25 [0.18, 0.34]
[50/62  1088s] pretrain 16.0h budget  30 seed1: 0.13 [0.08, 0.21]
[51/62  1109s] pretrain 32.0h budget  10 seed0: 0.20 [0.13, 0.29]
[52/62  1110s] pretrain 32.0h budget  30 seed0: 0.17 [0.11, 0.26]
[53/62  1117s] pretrain 32.0h budget 100 seed0: 0.40 [0.31, 0.50]
[54/62  1167s] pretrain 32.0h budget  10 seed1: 0.17 [0.11, 0.26]
[55/62  1195s] pretrain 32.0h budget  30 seed1: 0.20 [0.13, 0.29]
[56/62  1224s] pretrain 32.0h budget 100 seed1: 0.36 [0.27, 0.46]
[57/62  1247s] pretrain  0.0h budget  30 seed0: 0.03 [0.01, 0.08]
[58/62  1247s] pretrain  0.0h budget  10 seed0: 0.00 [0.00, 0.04]
[59/62  1249s] pretrain  0.0h budget 100 seed0: 0.22 [0.15, 0.31]
[60/62  1259s] pretrain  0.0h budget  10 seed1: 0.01 [0.00, 0.05]
[61/62  1262s] pretrain  0.0h budget  30 seed1: 0.04 [0.02, 0.10]
[62/62  1285s] pretrain  0.0h budget 100 seed1: 0.28 [0.20, 0.37]
wrote s8_scaling\results\transfer_xl.json
